ASIN,Billing Address,Carrier Name & Tracking Number,Currency,Gift Message,Gift Recipient Contact,Gift Sender Name,Item Serial Number,Order Date,Order ID,Order Status,Original Quantity,Payment Method Type,Product Condition,Product Name,Purchase Order Number,Ship Date,Shipment Item Subtotal,Shipment Item Subtotal Tax,Shipment Status,Shipping Address,Shipping Charge,Shipping Option,Total Amount,Total Discounts,Unit Price,Unit Price Tax,Website
B0C1234567,REDACTED,REDACTED,USD,,,,,2024-01-15,111-0000001-0000001,Closed,1,Visa - 0804,New,Test Widget,,2024-01-16,29.99,2.10,Shipped,REDACTED,5.00,Standard Shipping,37.09,0.00,29.99,2.10,Amazon.com
B0C2234567,REDACTED,REDACTED,USD,,,,,2024-01-16,111-0000002-0000002,Closed,3,Visa - 1523,New,Test Gadget,,2024-01-17,44.97,3.15,Shipped,REDACTED,0.00,Standard Shipping,48.12,0.00,14.99,1.05,Amazon.com
B0C3234567,REDACTED,REDACTED,USD,,,,,2024-01-17,111-0000003-0000003,Closed,1,Visa - 2401,New,Test Tool,,2024-01-18,31.97,2.24,Shipped,REDACTED,1.17,Standard Shipping,11.86,0.00,9.99,0.70,Amazon.com
B0C3334567,REDACTED,REDACTED,USD,,,,,2024-01-17,111-0000003-0000003,Closed,1,Visa - 2401,New,Test Gadget,,2024-01-18,31.97,2.24,Shipped,REDACTED,1.17,Standard Shipping,15.07,0.00,12.99,0.91,Amazon.com
B0C3434567,REDACTED,REDACTED,USD,,,,,2024-01-17,111-0000003-0000003,Closed,1,Visa - 2401,New,Test Item,,2024-01-18,31.97,2.24,Shipped,REDACTED,1.16,Standard Shipping,10.78,0.00,8.99,0.63,Amazon.com
B0C4234567,REDACTED,REDACTED,USD,,,,,2024-01-18,111-0000004-0000004,Closed,1,Visa - 3456,New,Test Product,,2024-01-19,24.99,1.75,Shipped,REDACTED,0.00,Standard Shipping,26.74,0.00,24.99,1.75,Amazon.com
B0C5234567,REDACTED,REDACTED,USD,,,,,2024-01-19,111-0000005-0000005,Closed,1,Not Available,New,Test Item,,2024-01-20,39.99,2.80,Shipped,REDACTED,5.00,Standard Shipping,47.79,0.00,39.99,2.80,Amazon.com
B0C6234567,REDACTED,REDACTED,USD,,,,,2024-01-20,111-0000006-0000006,Closed,1,Visa - 4567,New,Test Widget,,Not Available,19.99,1.40,Shipped,REDACTED,0.00,Standard Shipping,21.39,0.00,19.99,1.40,Amazon.com
B0C7234567,REDACTED,REDACTED,USD,,,,,2024-01-21,111-0000007-0000007,Closed,1,Gift Certificate/Card and Visa - 5678,New,Test Product,,2024-01-22,50.00,3.50,Shipped,REDACTED,0.00,Standard Shipping,53.50,0.00,50.00,3.50,Amazon.com
B0C8234567,REDACTED,REDACTED,USD,,,,,2024-01-22,111-0000008-0000008,Closed,1,Visa - 6789,New,Test Gift Item,,2024-01-23,15.99,1.12,Shipped,REDACTED,0.00,Standard Shipping,17.11,0.00,0.00,0.00,Amazon.com
B0C9234567,REDACTED,REDACTED,USD,,,,,2024-01-23,111-0000009-0000009,Closed,1,Visa - 7890,New,Test Item,,2024-01-24,15.50,1.09,Shipped,REDACTED,3.00,Standard Shipping,19.59,0.00,15.50,1.09,Amazon.com
B0C0234567,REDACTED,REDACTED,USD,,,,,2024-01-24,111-0000010-0000010,Closed,1,Visa - 8901,New,Test Product,,2024-01-25,71.49,5.00,Shipped,REDACTED,1.20,Standard Shipping,27.95,0.00,25.00,1.75,Amazon.com
B0C0334567,REDACTED,REDACTED,USD,,,,,2024-01-24,111-0000010-0000010,Closed,1,Visa - 8901,New,Test Widget,,2024-01-25,71.49,5.00,Shipped,REDACTED,1.20,Standard Shipping,17.25,0.00,15.00,1.05,Amazon.com
